firma1,beziehung,firma2
EVS-Deponie Illingen,hat die Muttergesellschaft,EVS ABW GmbH
EVS-Deponie Merzig-Fitten SKA Fitten (612),hat die Muttergesellschaft,EVS ABW GmbH
EVS-Deponie Ormesheim,hat die Muttergesellschaft,EVS ABW GmbH
Ecker Metalltechnik GmbH,hat den Betreiber,ECKER Metalltechnik GmbH
Eurofoam Deutschland GmbH,hat die Muttergesellschaft,Eurofoam Deutschland GmbH Schaumstoffe
EVS-Kläranlage Brebach,hat die Muttergesellschaft,Entsorgungsverband Saar - Abwasserwirtschaft
EVS-Kläranlage Burbach,hat die Muttergesellschaft,Entsorgungsverband Saar - Abwasserwirtschaft
Saarstahl AG Werk Neunkirchen,hat die Muttergesellschaft,Saarstahl AG
"Agepan Tarkett Laminate Park GmbH & Co. KG ""-""",hat den Betreiber,Laminate Park GmbH & Co. KG
AHKW Neunkirchen,hat die Muttergesellschaft,E.ON Energy from Waste Saarbrücken GmbH
AVA Velsen,hat die Muttergesellschaft,Betriebsgesellschaft Abfallverwertungsanlage Velsen mbH
AVA Velsen,hat den Betreiber,AVA Velsen GmbH
Bartz-Werke GmbH,hat den Betreiber,.
Bowesa GmbH,hat die Muttergesellschaft,Terrag Service und Vertrieb GmbH Saarländische Rohproduke GmbH
Bowesa GmbH,hat den Betreiber,BOWESA GmbH
J.P.B.  Prometall GmbH,hat den Betreiber,J.P.B. Prometall
Kraftwerk Bexbach,hat den Betreiber,Evonik New Energies GmbH
Kraftwerk Fenne,hat die Muttergesellschaft,"Fenne 1, MHK: Evonik STEAG GmbH"
Kraftwerk Fenne,hat den Betreiber,Evonik New Energies GmbH
Kraftwerk Weiher,hat die Muttergesellschaft,Evonik STEAG GmbH
Kraftwerk Weiher,hat den Betreiber,Evonik New Energies GmbH
Großverzinkerei Neunkirchen GmbH & Co. KG.,hat den Betreiber,Großverzinkerei Neunkirchen GmbH & Co. KG
Behandlungsanlage Wax,hat die Muttergesellschaft,Hubert Wax GmbH & Co. KG
"Decoma, Werk Decoform",hat die Muttergesellschaft,Decoma (Germany) GmbH
"Decoma, Werk Decorate",hat die Muttergesellschaft,Decoma (Germany) GmbH
Gebrüder Meiser GmbH (IGB),hat die Muttergesellschaft,Gebrüder Meiser GmbH
RAG Deutsche Steinkohle Bergwerk Saar,hat die Muttergesellschaft,RAG Deutsche Steinkohle
Saint-Gobain Gussrohre GmbH&Co.KG,hat den Betreiber,-----------------------------
Sakthi Germany GmbH Standort Neunkirchen,hat die Muttergesellschaft,Sakthi Auto Components Ltd.
Sakthi Germany GmbH Standort Neunkirchen,hat den Betreiber,Sakthi Germany GmbH
SES Service-Entsorgung-Sicherheit GmbH,hat die Muttergesellschaft,REMONDIS Industrie Service GmbH & Co. KG
SES Service-Entsorgung-Sicherheit GmbH,hat den Betreiber,SES Service-Entsorgung-Sichrheit GmbH
Stahlguss Saar GmbH,hat die Muttergesellschaft,Saarstahl AG
Bodenbehandlungsanlage Terratec,hat die Muttergesellschaft,TERRATEC Bodensanierungsgesellschaft mbH
V & B Fliesen GmbH Werk Merzig,hat die Muttergesellschaft,V & B Fliesen GmbH
Werle GmbH Grauguss und Sphäroguss,hat den Betreiber,Werle GmbH
Willy Voit GmbH & Co.,hat den Betreiber,Willy Voit
Behandlungsanlage Zache,hat die Muttergesellschaft,Zache Entsorgung AG
