firma1,beziehung,firma2
Kraft Foods Deutschland Production GmbH&Co. KG,hat den Betreiber,Kraft Foods Inc.
Kreismülldeponie Hattorf am Harz,hat die Muttergesellschaft,Landkreis Osterode am Harz
KRONOS TITAN GmbH Werk Nordenham,hat die Muttergesellschaft,KRONOS International Inc.
KRONOS TITAN GmbH Werk Nordenham,hat den Betreiber,KRONOS TITAN GmbH
Krüger KG,hat die Muttergesellschaft,Krüger Holger
Krüger KG,hat den Betreiber,Holger Krüger
KSM Castings Group GmbH Kloth Senking Metallgießerei,hat die Muttergesellschaft,KSM Castings Group GmbH Kloth-Senking Metallgießerei
"Kühter, Anne und Heinrich A. u. H. Kühter Bioenergie GmbH & Co. KG",hat die Muttergesellschaft,"Kühter, Anne und Heinrich"
L & P Beschichtungen GmbH,hat den Betreiber,Olaf Abrahams
Landkreis Harburg Kläranlage Seevetal,hat die Muttergesellschaft,Landkreis Harburg - Betrieb 82
Landkreis Harburg Kläranlage Seevetal,hat den Betreiber,Kläranlage Seevetal
Landkreis Rotenburg Deponie Helvesiek,hat die Muttergesellschaft,Landkreis Rotenburg (Wümme)
Landkreis Rotenburg Deponie Helvesiek,hat den Betreiber,Landkreis Rotenburg
LEDA WERK GmbH & Co. KG Boekhoff & Co.,hat den Betreiber,LEDA Werk GmbH & Co. KG
"Legehennenanlage Bruns, Heiko",hat die Muttergesellschaft,Heiko Bruns
Legehennenanlage Farm Bissel,hat die Muttergesellschaft,egga GmbH & Co.KG
Legehennenanlage Farm Döhlen,hat die Muttergesellschaft,Deutsche Frühstücksei GmbH
Limbeck GbR Gerd,hat die Muttergesellschaft,Limbeck Gerd
Loher Landei GmbH & Co KG,hat den Betreiber,Loher Landei Gmbh & Co. KG
Lohmann Animal Health GmbH Impfstoffwerk,hat den Betreiber,Lohmann Animal Health GmbH
Lönnecker GbR Karl-Heinz Lönnecker,hat den Betreiber,Lönnecker GbR u. Eichenborner Agrar GmbH & Co.KG
Lüneburger Eisenwerk GmbH,hat die Muttergesellschaft,Lüneburger Eisenwerk GmbH z. Hd. Herrn Bernd Cordes
M-I Swaco Deutschland GmbH TCC - Anlage Cuxhaven,hat die Muttergesellschaft,M-I Swaco Deutschland GmbH
M. Neemann OHG,hat den Betreiber,M. Neeman OHG
MA Mansie Landkreis Ammerland,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb Landkreis Ammerland
Maria Hüllsieck Autoverwertung,hat den Betreiber,Maria Huüllsieck
MARS GmbH Tierfutterherstellung,hat die Muttergesellschaft,Mars GmbH
Maschinenfabrik Bernard Krone GmbH,hat die Muttergesellschaft,Maschinenfabrik Bernard Krone  GmbH
Maschinenfabrik Bernard Krone GmbH,hat den Betreiber,Bernard Krone
MBA  Mech.-Biolog.Restabf.-Vorbeh. Abfallwirtschaftszentrum Wiefels,hat die Muttergesellschaft,Zweckverband Abfallwirtschaftszentrum
MBA  Mech.-Biolog.Restabf.-Vorbeh. Abfallwirtschaftszentrum Wiefels,hat den Betreiber,Zweckverband Abfallwirtschaftszentrum Friesland/Wittmund
MBA Großefehn,hat die Muttergesellschaft,Landkreis Aurich
MBA Großefehn,hat den Betreiber,MKW - Materialkreislauf und Kompostwirtschaft GmbH & Co. KG
Meica Ammerländische Fleischwarenfabrik,hat den Betreiber,Meica Ammerländer Fleischwarenfabrik F. Meinen GmbH & Co. KG
Metallguss Sulingen GmbH,hat die Muttergesellschaft,Metallguß Sulingen GmbH
Metallveredelung Pentz & Gerdes GmbH & Co.KG,hat den Betreiber,Pentz&Gerdes
MEYER WERFT GmbH,hat den Betreiber,Bernard Meyer
MI Swaco Deutschland GmbH ECC Eniviro-Center-Cuxhaven,hat die Muttergesellschaft,MI Swaco Deutschland GmbH
MI Swaco Deutschland GmbH ECC Eniviro-Center-Cuxhaven,hat den Betreiber,M-I Swaco Deutschland GmbH
Mineralöl-Raffinerie Dollbergen GmbH,hat den Betreiber,Mineralöl - Raffinerie Dollbergen GmbH
MTU Maintenance Hannover GmbH,hat den Betreiber,Holger Sindemann
Mysegades & Brünjes GbR Hauke Brünjes,hat den Betreiber,"Hauke Brünjes KG, Brokser Agrar KG"
Nehlsen GmbH & Co. KG Zweigniederlassung Nord-West,hat den Betreiber,Nehlsen GmbH & Co. KG
Nexans Deutschland GmbH Werk Bramsche,hat die Muttergesellschaft,Nexans Deutschland GmbH
Nienburger Geflügelspezialitäten Zweigniederlassung der Oldenburger,hat den Betreiber,"Nienburger Geflügelspezialitäten, Zweigniederlassung der Oldenburger Geflügelspezialitäten GmbH & Co. KG"
NL Geflügelzucht GmbH,hat die Muttergesellschaft,Geflügelzucht NL GmbH
NL Geflügelzucht GmbH,hat den Betreiber,Geflügezucht NL GmbH
NOEX AG Nord,hat die Muttergesellschaft,EGN Entsorgungsgesellschaft Niederrhein mbH
NOEX AG Nord,hat den Betreiber,NOEX AG
NORDFOLIEN GmbH,hat den Betreiber,Nordfolien GmbH
Nordland Papier GmbH Papierfabrik,hat die Muttergesellschaft,Nordland Papier GmbH
Nordzucker AG Werk Clauen,hat den Betreiber,Nordzucker AG
Nordzucker AG Werk Uelzen,hat den Betreiber,Nordzucker AG
Nordzucker AG Werk Nordstemmen,hat den Betreiber,Nordzucker AG
"Nordzucker AG, Werk Schladen",hat den Betreiber,Nordzucker AG
Novelis Deutschland GmbH Werk Göttingen,hat den Betreiber,Novelis Deutschland GmbH
O-I GLASSPACK GmbH & Co. KG Glashütte Holzminden,hat den Betreiber,O-I GLASSPACK GmbH Co. KG
O-I GLASSPACK GmbH & Co. KG Glashütte Stoevesandt,hat die Muttergesellschaft,O-I Glasspack GmbH & Co. KG Glashütte Stoevesandt
O-I GLASSPACK GmbH & Co. KG Glashütte Stoevesandt,hat den Betreiber,OI Manufacturing GmbH & Co KG
Oetjen Rohstoffhandel GmbH Recyclinghof,hat die Muttergesellschaft,Oetjen Rohstoffhandel GmbH
Oetjen Rohstoffhandel GmbH Recyclinghof,hat die Muttergesellschaft,Oetjen Rohstoffhandel GmbH
OGE - Krummhörn,hat die Muttergesellschaft,Open Grid Europe GmbH
Oldenburgisch-Ostfriesischer Wasserverband (OOWV),hat die Muttergesellschaft,Oldenburgisch-Ostfriesischer-Wasser verband (OOWV)
Oldenburgisch-Ostfriesischer Wasserverband (OOWV),hat den Betreiber,OOWV
Organo - Fluid GmbH Dr. W. Koczott,hat den Betreiber,Organo-Fluid GmbH
P & P Farmbetriebe GmbH (Schöninghsdorf Bruteier),hat den Betreiber,P & P Farmbetriebe GmbH
Peiner Entsorgungsgesellschaft mbH,hat den Betreiber,PEG mbH
Peter Comte Galvanotechnik GmbH & Co. KG,hat den Betreiber,Joachim Comte
Pickenpack Europe GmbH,hat die Muttergesellschaft,Pickenpack Holding GmbH
Pickenpack Europe GmbH,hat den Betreiber,Pickenpack GmbH
PN Biomasseheizkraftwerk Emlichheim GmbH & Co. KG,hat die Muttergesellschaft,N.Prior Energy GmbH
"Pohlmann, Wilhelm",hat den Betreiber,KG Rießel Ei GmbH & Co.
ppg>flexofilm GmbH,hat die Muttergesellschaft,prepacgroup Holding GmbH
Premium AEROTEC GmbH,hat den Betreiber,Hans-Joachim Peters
Premium AEROTEC GmbH,hat den Betreiber,Premium Aerotec GmbH
ProEntsorga Beratungs- und Entsorgungs GmbH,hat den Betreiber,ProEntsorga Beratungs- und Entsorgungs
Putenmast Fladder GbR,hat den Betreiber,PMK GbR u. A. Kurmann
Putenmast Hermann Kalvelage GbR Heidemark Mästerkreis GmbH & Co. KG,hat den Betreiber,Putenmast Hermann Kalvelage GbR
"Putenmast Kronsberg GbR Schöning, Hans",hat den Betreiber,"Schöning, Hans"
"Putenmast Meeschen GbR Schöning, Hans",hat den Betreiber,"Schöning, Hans"
Putenmastanlage Bahrs,hat die Muttergesellschaft,Günter Bahrs
Putenmastanlage Bahrs,hat den Betreiber,Holzhauser Putenmast GmbH & Co.KG
Radeberger Gruppe KG Friesisches Brauhaus zu Jever,hat den Betreiber,Radeberger-Gruppe KG
Reagens Deutschland GmbH Standort Loxstedt,hat den Betreiber,Reagens Deutschland GmbH
REHAU AG & Co Werk Brake,hat den Betreiber,REHAU AG + Co
Rehau AG & Co. Kunststoffverarbeitung,hat den Betreiber,REHAU AG + Co
REMONDIS Industrie Service GmbH & Co. KG Niederlassung Uetze,hat die Muttergesellschaft,REMONDIS AG & Co. KG
REMONDIS Industrie Service GmbH & Co. KG Niederlassung Uetze,hat den Betreiber,REMONDIS Industrie Service GmbH & Co. KG
REMONDIS Medison GmbH NL Braunschweig,hat die Muttergesellschaft,REMONDIS Industrie Service GmbH&Co.KG
REMONDIS Medison GmbH NL Braunschweig,hat den Betreiber,REMONDIS Medison GmbH
RETEK AG,hat den Betreiber,"RETEK AG, Vorstand: Martin Knode"
Rohde AG Oberflächentechnik,hat den Betreiber,Rohde AG
RWE Generation SE Erdgaskraftwerk Emsland,hat den Betreiber,RWE Generation SE
RWS Agrarverdelung GmbH & Co KG,hat die Muttergesellschaft,RWS Agrarveredelung GmbH & Co KG
Röben Tonbaustoffe GmbH Werk Querenstede,hat die Muttergesellschaft,Röben Tonbaustoffe GmbH
Salzgitter Flachstahl GmbH Reststoffzentrum Barum,hat die Muttergesellschaft,Salzgitter Flachstahl GmbH
Salzgitter Flachstahl GmbH Werk Salzgitter,hat die Muttergesellschaft,Salzgitter Flachstahl GmbH Abt. Umweltschutz / 08 TUI
Salzgitter Flachstahl GmbH Werk Salzgitter,hat den Betreiber,Salzgitter Flachstahl GmbH
Sande Stahlguß GmbH,hat den Betreiber,Sande Stahlguss GmbH
Sandern Edelstahl - Beiztechnik GmbH,hat den Betreiber,Sandern Edelstahl-Beiztechnik GmbH
Sartorius Stedim Biotech GmbH,hat die Muttergesellschaft,Sartorius Stedim Biotech S.A. über Corporate Administration GmbH
Schlachtgeflügel-Erzeugergemeinschaft Twist GmbH,hat den Betreiber,Broiler Geflügelerzeuger GmbH Twist & Co.KG
Schlachtgeflügel-Erzeugergemeinschaft Twist GmbH,hat den Betreiber,Broiler Geflügelerzeuger GmbH Gr. Hesepe & Co .KG
Schlachtgeflügel-Erzeugergemeinschaft Twist GmbH,hat den Betreiber,Geflügelerzeuger GmbH Rühle & Co.KG
Schlachtgeflügel-Erzeugergemeinschaft Twist GmbH,hat den Betreiber,"Maatmann de Splitting 19, 8472 AM-Wolvega-NL"
Schmalriede Zink GmbH & Co.KG,hat den Betreiber,Thomas Schmalriede
Schne-frost Ernst Schnetkamp GmbH & Co. KG,hat den Betreiber,Schne-Frost Ernst Schnetkamp
Schoeller Technocell GmbH & Co. KG,hat die Muttergesellschaft,Felix Schoeller Holding GmbH & Co. KG
Schoeller Technocell GmbH & Co. KG,hat den Betreiber,Schoeller Technocell GmbG & Co. KG
Schotmann,hat die Muttergesellschaft,Schotmann GbR V. O. F.
Schotmann,hat den Betreiber,Schotmann GbR
SCHOTT AG,hat den Betreiber,SCHOTT AG Werk Grünenplan
Schwarz-Cranz GmbH & Co. KG Echt Altländer Fleischwaren,hat die Muttergesellschaft,Schwarz-Cranz GmbH & Co KG Echt Altländer Fleischwaren
Schwarz-Cranz GmbH & Co. KG Echt Altländer Fleischwaren,hat den Betreiber,Schwarz-Cranz GmbH & Co. KG
Schweinemastanlage Domänenstrasse / Völlen,hat die Muttergesellschaft,Firma G. Mollen B. V.
Schweinemastanlage Domänenstrasse / Völlen,hat den Betreiber,Mavi WOL GmbH
"Schweinezucht Bühren GmbH Stratmann, André",hat den Betreiber,Schweinezucht Bühren GmbH
Schweinezucht Lutten,hat den Betreiber,Schweinezucht Lutten GmbH & Co.KG
SIAG Nordseewerke GmbH,hat den Betreiber,Thomas Marutz
Sibobeton Osnabrück GmbH & Co. KG,hat den Betreiber,sibobeton Osnabrück
Sickendiek Fleischwarenfabrik GmbH & Co. KG,hat den Betreiber,Sickendiek Fleischwaren GmbH & Co. KG
Silgan White Cap Deutschland GmbH,hat den Betreiber,Jochen Hundt
Smurfit Kappa Herzberger Papierfabrik GmbH,hat den Betreiber,Karl-Heinz Gerlach
Stadt Cloppenburg Kläranlage - BHKW -,hat die Muttergesellschaft,Stadt Cloppenburg
Stadtentwässerung Braunschweig Abwasserpumpwerk Ölper,hat die Muttergesellschaft,Stadtentwässerung Braunschweig GmbH
Stadtentwässerung Braunschweig GmbH Klärwerk Steinhof,hat die Muttergesellschaft,Stadtentwässerung Braunschweig GmbH
Stadtentwässerung Hannover Ölseparierungsanlage Varrelheide,hat die Muttergesellschaft,Stadtentwässerung Hannover - Eigenbetrieb der Landeshauptstadt
Stadtentwässerung Hannover Ölseparierungsanlage Varrelheide,hat den Betreiber,Stadtentwässerung Hannover
Stadtentwässerung Lingen Kläranlage,hat den Betreiber,Stadtentwässerung Lingen
Stadtwerke Delmenhorst GmbH Kläranlage Delmenhorst,hat die Muttergesellschaft,Stadtwerke Delmenhorst GmbH
Stadtwerke Osnabrück AG Klärwerke + Kanalbetrieb,hat den Betreiber,Stadtwerke Osnabrück AG
Statkraft Markets GmbH Kraftwerk Robert Frank,hat die Muttergesellschaft,Statkraft Markets GmbH
Statkraft Markets GmbH Kraftwerk Emden,hat die Muttergesellschaft,Statkraft Markets GmbH
STENA TECHNOWORLD GmbH,hat den Betreiber,Stena Technoworld GmbH
Strötzel Oberflächentechnik GmbH & Co. KG,hat den Betreiber,Strötzel Oberflächentechnik
surfactor Germany GmbH,hat den Betreiber,Dr. Gunther Martin
Symrise AG Werk Solling,hat die Muttergesellschaft,Symrise AG
Symrise AG Werk Weser,hat die Muttergesellschaft,Symrise AG
Synthomer GmbH,hat den Betreiber,"Synthomer GmbH,"
Synthopol Chemie Dr. rer. pol. Koch GmbH & Co. KG,hat die Muttergesellschaft,Dr. rer. pol. Koch & Co. KG Synthopol Chemie
Synthopol Chemie Dr. rer. pol. Koch GmbH & Co. KG,hat den Betreiber,Synthopol Chemie
Technische Betriebe Wilhelmshaven Eigenbetrieb der Stadt Wilhelmshaven,hat den Betreiber,Technische Betriebe Wilhelmshaven
Ten Kate GmbH & Co. KG,hat die Muttergesellschaft,Ten Kate GmbH Fettschmelze
Tesium GmbH Werk Weser,hat die Muttergesellschaft,Symrise AG
Tesium GmbH Werk Weser,hat den Betreiber,Tesium GmbH
Thyssen Krupp GfT Gleistechnik GmbH Geschäftsbereich Holzschwellenwerk,hat den Betreiber,Thyssen Krupp GfT Gleistechnik GmbH
Tranel Alfons,hat den Betreiber,Tranel GbR
Töhle Werner,hat die Muttergesellschaft,R. & S. Kreutzmann GbR
Tönsmeier Entsorgung Niedersachsen GmbH & Co. KG,hat den Betreiber,Tönsmeier Entsorgung Niedersachsen GmbH&Co.KG
Tönsmeier Entsorgung GmbH Hameln,hat den Betreiber,Stefan Thiede
Uelzena eG,hat den Betreiber,Uelzena e.G.
Umweltschutz Nord GmbH Bodenreinigungsanlage,hat die Muttergesellschaft,Umweltschutz Nord GmbH
Umweltschutz Nord GmbH,hat die Muttergesellschaft,Umweltschutz Nord GmbH Niederlassung Hamburg
Uwe Jaske GmbH & Co. KG,hat den Betreiber,Uwe Jaske
van Bebber Jens,hat den Betreiber,Bodenkamp van Bebber Veredlung GmbH & Co.KG
vaxxinova GmbH,hat den Betreiber,vaxxinova
Veolia Umweltservice Nord GmbH Niederlassung Niedersachsen Nord,hat den Betreiber,Veolia Umweltservice Nord GmbH
Veolia Umweltservice Nord GmbH Müllumladeanlage am Bahnhof *EFB*,hat die Muttergesellschaft,Veolia Umweltservice Nord-West GmbH
Veolia Umweltservice Nord GmbH Müllumladeanlage am Bahnhof *EFB*,hat den Betreiber,Veolia Umweltservice Nord GmbH
Veolia Umweltservice Nord GmbH Abfallumschlags-& Behandlungsanlage,hat die Muttergesellschaft,Veolia Umweltservice Nord GmbH
Veolia Umweltservice Nord GmbH Abfallumschlags-& Behandlungsanlage,hat den Betreiber,Veolia Umweltservice Nord mbH
Vereinigte Fischmehlwerke Cuxhaven GmbH & Co. KG,hat den Betreiber,Cuxhaven GmbH & Co. KG
Versandschlachthof Lähden Ficker u. Henke GmbH,hat den Betreiber,Versandschlachthof Lähden GmbH
Verzinkerei Peine Betriebsstätte der Verzinkerei,hat den Betreiber,Verzinkerei Peine
VION Lingen Niederlassung der VION Zeven AG,hat die Muttergesellschaft,VION Lingen Eine Niederlassung der
VION Lingen Niederlassung der VION Zeven AG,hat den Betreiber,VION Lingen - Niederlassung der VION Zeven AG
Vital Fettrecycling GmbH,hat die Muttergesellschaft,VITAL Fettrecycling GmbH
Volkswagen AG Werk Wolfsburg,hat die Muttergesellschaft,Volkswagen AG
Volkswagen AG Werk Wolfsburg,hat den Betreiber,"Volkswagen AG, Wolfsburg"
Volkswagen AG Werk Braunschweig,hat die Muttergesellschaft,Volkswagen AG
Volkswagen AG Werk Braunschweig,hat den Betreiber,"Volkswagen AG, Werk Braunschweig"
Volkswagen AG Werk Emden,hat die Muttergesellschaft,Volkswagen AG
Volkswagen AG Werk Emden,hat den Betreiber,Jens Herrmann
Volkswagen AG,hat die Muttergesellschaft,Volkswagen AG Brieffach 2399
Volkswagen AG Deponie Essenrode,hat die Muttergesellschaft,Volkswagen AG K_EFUW
Volkswagen AG Deponie Essenrode,hat den Betreiber,Service Factory VW AG
Volkswagen AG Zwischenl. Barnbruch Zwischenlager f. Boden u. Bauschutt,hat die Muttergesellschaft,Volkswagen AG Entsorgungswirtschaft
Volkswagen AG Zwischenl. Barnbruch Zwischenlager f. Boden u. Bauschutt,hat den Betreiber,Service Factory VW AG
Vorwerk &.Co Teppichwerke GmbH & Co. KG,hat den Betreiber,Johannes Schulte
"Vorwerk GbR, Franz-Josef Vorwerk , Franz-Josef",hat den Betreiber,"Vorwerk GbR, Franz-Josef"
"Voßmann, Andreas",hat den Betreiber,"Voßmann GbR, Irmgard & Christian"
VSM Vereinigte Schmirgel- u. Maschinen-Fabriken AG,hat den Betreiber,VSM AG
WAS Wolfsburger Abfallwirtschaft u. Straßenreinigung,hat die Muttergesellschaft,Stadt Wolfsburg
WAS Wolfsburger Abfallwirtschaft u. Straßenreinigung,hat den Betreiber,WAS
Wasserverband Wendland Kläranlage Lüchow,hat die Muttergesellschaft,Wasser-Verband Wendland Wasser-vertband-Wendland
Wasserverband Wendland Kläranlage Lüchow,hat den Betreiber,Wasser-Verband Wendland
"Waterloh, Wilhelm",hat den Betreiber,Waterloh Wilhelm
Weener Energie GmbH & Co. KG Abfallverbrennungsanlage Weener,hat die Muttergesellschaft,Weener Energie GmbH & Co. KG
"Wellen, Robert",hat den Betreiber,Robert Wellen Hähnchenmast
"Werner, Helmut",hat den Betreiber,Helmut Werner
Weser-Metall GmbH,hat die Muttergesellschaft,Recylex SA Recylex GmbH
WIAG - Speicher Rehden,hat die Muttergesellschaft,WINGAS GmbH
WIAG - Speicher Rehden,hat den Betreiber,Wintershall Holding GmbH
Wienerberger  GmbH Werk  Kirchkimmen,hat die Muttergesellschaft,Wienerberger  AG
Wienerberger  GmbH Werk  Kirchkimmen,hat den Betreiber,Werk  KIirchkimmen
Wienerberger GmbH Werk Pente,hat den Betreiber,Werk  Pente
Wilhelm Bauer GmbH u. Co. KG Industriehartchrom/Rundschleifen,hat die Muttergesellschaft,Wilhelm Bauer GmbH & Co. KG Industriehartchrom/Rundschleifen
Wilhelm Bauer GmbH u. Co. KG Industriehartchrom/Rundschleifen,hat den Betreiber,Wilhelm Bauer GmbH & Co. KG
"Willenborg, Matthias",hat den Betreiber,Matthias Willenborg
WOB -Wessling Oberflächenveredelung GmbH,hat den Betreiber,Wessling Oberflächenveredelung GmbH
Wolters Hähnchenmast GmbH & Co. KG,hat den Betreiber,Bernhard Wolters
WRG - Wilhelmshavener Raffinerie- gesellschaft mbH,hat die Muttergesellschaft,Wilhelmshavener Raffineriegesellschaft mbH WRG
WRG - Wilhelmshavener Raffinerie- gesellschaft mbH,hat den Betreiber,Wilhelmshavener Raffineriegesellschaft
WS Weser-Logistik GmbH & Co. KG,hat die Muttergesellschaft,WS Weser-Logistik GmbH § Co.KG
Wulfa Mast,hat den Betreiber,Wulfa-Mast GmbH
"Zentraldeponie Brake-Käseburg, Nord Landkreis Wesermarsch",hat die Muttergesellschaft,Abfallwirtschaft Wesermarsch
"Zentraldeponie Brake-Käseburg, Nord Landkreis Wesermarsch",hat den Betreiber,GIB Entsorgung Wesermarsch GmbH
Zentraldeponie Breinermoor ALL Landkreis Leer,hat die Muttergesellschaft,Landkreis Leer Abfallwirtschaftsbetrieb
Zentraldeponie Breinermoor ALL Landkreis Leer,hat den Betreiber,ALL Landkreis Leer
Zentraldeponie Deiderode,hat die Muttergesellschaft,Landkreis Göttingen
Zentraldeponie Dörpen AWB Landkreis Emsland,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb Landkreis Emsland
Zentraldeponie Mansie II Abfallwirtschaftsbetrieb Landkreis Ammerland,hat die Muttergesellschaft,Landkreis Ammerland
Zentraldeponie Mansie II Abfallwirtschaftsbetrieb Landkreis Ammerland,hat den Betreiber,Abfallwirtschaftsbetrieb Landkreis Ammerland
Zentraldeponie Piesberg Osnabrücker Service Betrieb,hat die Muttergesellschaft,Osnabrücker Service Betrieb
Zentraldeponie Wilsum II Abfallwirtschaftsbetrieb,hat die Muttergesellschaft,Abfallwirtschaftsbetrieb Landkreis Grafschaft Bentheim
Zentraldeponie Wilsum II Abfallwirtschaftsbetrieb,hat den Betreiber,Abfallwirtschaftsbetrieb
ZF Friedrichshafen AG (I) C-Damme CR (DE),hat die Muttergesellschaft,ZF Friedrichshafen AG (I)
ZF Friedrichshafen AG (I) C-Damme CR (DE),hat den Betreiber,ZF Friedrichshafen AG
ZinkPower Remels GmbH & Co. KG,hat den Betreiber,ZinkPower Remels GmbH & Co KG
Zollern BHW Gleitlager GmbH & Co. KG,hat den Betreiber,Zollern BHW Gleitlager GmbH & Co KG
Zweckverband Abfallwirtschaft Celle Deponie Höfer,hat die Muttergesellschaft,Zweckverband Abfallwirtschaft Celle
KME Germany AG Stolberger Metallwerk,hat die Muttergesellschaft,KME Germany AG
KME Germany AG Stolberger Metallwerk,hat den Betreiber,Stolberger Metallwerk
Heizkraftwerk Südstadt,hat die Muttergesellschaft,GEW Köln AG
Heizkraftwerk Südstadt,hat den Betreiber,RheinEnergie AG
ZinkPower  Hückelhoven GmbH & Co. KG,hat den Betreiber,ZinkPower  HückelhovenGmbH & Co. KG
Remondis GmbH Rheinland,hat den Betreiber,REMONDIS GmbH Rheinland
Over-Eloxal GmbH,hat den Betreiber,Over Eloxal GmbH
ATCOAT GmbH,hat die Muttergesellschaft,CWS Lackfabrik GmbH & Co. KG
RWE Power AG Kraftwerk Goldenberg,hat die Muttergesellschaft,RWE Power AG
Phospholipid GmbH,hat die Muttergesellschaft,Lipoid GmbH
TSR Recycling GmbH & Co. KG,hat die Muttergesellschaft,TSR Rececling GmbH & Co.KG
Evonik Degussa GmbH Werk Herne/Witten,hat die Muttergesellschaft,Evonik Degussa GmbH
AWB Abfallwirtschaftsbetriebe Köln GmbH & Co. KG,hat den Betreiber,AWB AbfallwirtschaftsbetriebeKöln GmbH & Co. KG
Deponiebetriebsgesellschaft Remscheid mbH Deponie Solingerstr nicht abge.Teil,hat die Muttergesellschaft,Stadt Remscheid Entsorgungsbetriebe
Theo Steil GmbH Niederlassung Eschweiler,hat die Muttergesellschaft,Theo Steil GmbH Trier
Theo Steil GmbH Niederlassung Eschweiler,hat den Betreiber,Theo Steil GmbH
PGW Printzentrum Georg Weiss,hat die Muttergesellschaft,Weiss-Druck GmbH & Co. KG
